text,rating,label3,label5,lang
"Works great, nice quality brush that comes in a great ... — Works great, nice quality brush that comes in a great tin box for storage. It helps my beard become more luxerious like a soft angora blanket that you made into a sweater on a hot day, hot!!!!",5.0,2,4,en
"CURLY HAIR? YOU NEED THIS! — I have been using this to wet my hair and style it on the days i don't wash my hair, and omg this has been amazing! I bought it from watching a Kathleen video, and no doubt, this is AMAZING!",5.0,2,4,en
Great buy. — Great electric drill for DIY nails at home. Honestly a must have for doing your own nails. Also was able to use for other random things around the house.,5.0,2,4,en
Fits well. Great colors. Great price! — Love them! They work great for me. Keeps the hair out of my face! Awesome colors. Colors go with everything I wear. Great product for the $,5.0,2,4,en
"Ludicrous — It is more like a helmet than a rain cap. The ""brim"" area does'nt fold or curve down to cover the front of my hair.",1.0,0,0,en
"Died After 10+ Years On Orginal Screen & Blade INCREDIBLE Yet SADDEN! — 10 STARS! Purchased for $19.99 on November 26, 2006 and my only shaver till 1 month ago. Purchased a newer model about 1.5 years ago but couldn't get myself to part with this till it finally died. Never change the blade or screen and still cut well enough. The new Norelco cuts smoother and a little closer but I would trade it for another one of these new. Bring this unit back but Norelco won't cause it will be another 10 plus years before it goes out.",5.0,2,4,en
"Made hair super dry — Made my hair super dry and no slip what so ever. I LOVE the smell but it just did not help with my hair. This is probably best for ppl who are doing twist outs or braids outs. But for wash and go LOC method (cream - last step), this did not work for me at all.",1.0,0,0,en
"Worth the money — Very much a useful lamp, it cures fast and it’s detachable from the base so you can do toes as well without touching feet to the lamp itself. The only reason I gave it 4 instead of 5 stars is because the cord coating tears easily and the wires to the outlet plug are exposed but some electrical tape will do the trick!",4.0,2,3,en
"Just save your money, honey — Liquid trash. It's like a fly sneezed glitter at me. Effective, cheap alternatives include e.l.f. glitter eyeshadows (use a detail brush to use it as eyeliner) or NYX Glitter Goals Liquid Eyeliner. Both are less than $10. You deserve better than this nonsense!",2.0,0,1,en
"Two Stars — Wasn't what I expected, the ends tied with thread that was visible, returned the item.",2.0,0,1,en
Terrible item! — Terrible item. Not at all as described. Basically comes out like gold glitter from grade school and then is really hard to get off,1.0,0,0,en
Item as described — There is nothing wrong with this item... I just ordered the wrong size... it is tiny...,4.0,2,3,en
Great Palette organizer — This Palette organizer comes exactly as described. Fits perfect in Alexa drawers from IKEA. Good quality material.,5.0,2,4,en
Price is very good for this product. — Product was exactly what I wanted. They work great!!,5.0,2,4,en
Perfect snug fit — Use as a sleeping cap for the my 7 mo great granddaughter... It helps keep her hair from shedding,5.0,2,4,en
"It's Cute — It's been a few months, hair is soft still maintainable. Had shedding but that's expected with curly hair.",5.0,2,4,en
